,0
PatientID,470.7562114919398
SiteID,58.39130622332954
RaterID,127.80683136379099
AssessmentID,3957.894335668388
TxGroup,0.4995927758313006
VisitDay,104.22201670679718
P1,1.314731739244101
P2,1.1006299135852389
P3,1.399948018377887
P4,0.9361281436181818
P5,1.0456893013919168
P6,1.2536593147396609
P7,0.8561535005683555
N1,1.0084537086310696
N2,0.9920899056092174
N3,1.0150021549973944
N4,1.07185342174632
N5,1.1618776567094338
N6,1.077666477826517
N7,1.0432764746966143
G1,1.03495707647558
G2,1.1546176244045931
G3,0.9129949755638067
G4,0.9936147597916428
G5,0.9411089616110307
G6,1.0783176257970368
G7,0.9656342097179608
G8,0.8728533722928541
G9,1.16087908044171
G10,0.9573601282258757
G11,0.9775617498547287
G12,1.1890559788753972
G13,1.0193858713886665
G14,0.902949953453022
G15,1.0280119693614858
G16,1.1212073015294988
PANSS_Total,17.245342412390755
numVisit,4.865263219511536
