,0
PatientID,101.07312812711967
SiteID,13.071346946039782
RaterID,21.31333119268614
AssessmentID,694.1555057693525
TxGroup,0.4993472187286412
VisitDay,28.950346111008738
P1,1.100744061006989
P2,1.2375799532208451
P3,1.2790419507571225
P4,1.1190864368959395
P5,1.491268645525571
P6,1.0536530734648446
P7,1.1063554291887596
N1,1.0884585798427564
N2,0.9359712072897199
N3,1.1170125802107513
N4,1.0381626628825014
N5,1.0944895101182084
N6,1.2198166334113003
N7,1.1582181842098127
G1,1.2679060689336552
G2,1.2562803186345166
G3,1.1566674855314198
G4,1.0605796035453676
G5,1.055352103841106
G6,1.2594905798665366
G7,1.1072336586639793
G8,1.0604370384511739
G9,1.1406566878727105
G10,1.0437224260834144
G11,1.0607154360847568
G12,1.0781366310667784
G13,1.0009967937388358
G14,1.0490509284554694
G15,1.1658733333552738
G16,1.0929211735880557
PANSS_Total,18.256016384266097
numVisit,1.8658226843103831
