,0
PatientID,65.07689134896466
SiteID,0.0
RaterID,14.608072042192214
AssessmentID,850.2474681334634
TxGroup,0.49491455531965867
VisitDay,77.58820712753851
P1,1.6048741154983985
P2,1.2781995035637446
P3,1.6056243760182005
P4,1.0667336539763441
P5,0.9215572123294447
P6,1.5476753756683705
P7,1.1258084043639283
N1,1.1495496766790514
N2,1.1596364535198274
N3,1.1553308988629523
N4,1.1754272043335903
N5,1.266160014293598
N6,1.1946227606895596
N7,1.0415168951815228
G1,1.0464944784577515
G2,1.208680472140548
G3,0.824961761834029
G4,0.9577888292378703
G5,0.9981811321866515
G6,1.0982367463081124
G7,1.062139376538446
G8,1.113249097399541
G9,1.3384062169776523
G10,0.8962036188890423
G11,1.1198473044358803
G12,1.4242696038995066
G13,1.158207666726918
G14,1.0691749977149796
G15,1.2443662340559287
G16,1.2886629086409376
PANSS_Total,19.517666955450775
numVisit,5.284169696141416
