,0
PatientID,69.22724264132351
SiteID,12.308073045959407
RaterID,18.978393219255043
AssessmentID,544.2301398626041
TxGroup,0.49970393526614404
VisitDay,62.38015440948444
P1,1.2049804395868509
P2,1.0378257548420786
P3,1.2984333394078202
P4,1.0407094964967654
P5,1.0688428398604826
P6,1.160257446801675
P7,0.9965470330648206
N1,1.0079444612949615
N2,0.9692024818140448
N3,0.9978729041835718
N4,1.028794020749185
N5,1.0531970370431103
N6,1.0819130241398898
N7,0.9853164530897021
G1,0.9443067484117681
G2,1.1279861492112184
G3,0.833645037561408
G4,1.0500281704654897
G5,1.1058646849846092
G6,0.9514617395495655
G7,0.991364011928665
G8,1.0668133784054818
G9,1.1711795419509041
G10,0.9156822769828256
G11,0.9427333462670558
G12,1.0246149398692554
G13,0.961203215666603
G14,1.035351161700677
G15,1.0162116006847437
G16,1.042416659105122
PANSS_Total,18.18946367975646
numVisit,1.3532186102264248
